Test Start Time: Sat Sep 23 18:40:39 2023
-----------------------------------------
Testcase                                           Result     Exit Value
--------                                           ------     ----------
cgroup_core01                                      PASS       0    
cgroup_core02                                      CONF       32   
cgroup_core03                                      PASS       0    
cgroup                                             FAIL       2    
memcg_regression                                   PASS       0    
memcg_test_3                                       PASS       0    
memcg_failcnt                                      PASS       0    
memcg_force_empty                                  PASS       0    
memcg_limit_in_bytes                               PASS       0    
memcg_stat_rss                                     PASS       0    
memcg_subgroup_charge                              PASS       0    
memcg_max_usage_in_bytes                           PASS       0    
memcg_move_charge_at_immigrate                     PASS       0    
memcg_memsw_limit_in_bytes                         PASS       0    
memcg_stat                                         PASS       0    
memcg_use_hierarchy                                PASS       0    
memcg_usage_in_bytes                               PASS       0    
memcg_stress                                       PASS       0    
memcg_control                                      PASS       0    
memcontrol01                                       CONF       32   
memcontrol02                                       PASS       0    
memcontrol03                                       CONF       32   
memcontrol04                                       CONF       32   
cgroup_fj_function_debug                           CONF       32   
cgroup_fj_function_cpuset                          PASS       0    
cgroup_fj_function_cpu                             PASS       0    
cgroup_fj_function_cpuacct                         PASS       0    
cgroup_fj_function_memory                          PASS       0    
cgroup_fj_function_freezer                         PASS       0    
cgroup_fj_function_devices                         PASS       0    
cgroup_fj_function_blkio                           PASS       0    
cgroup_fj_function_net_cls                         PASS       0    
cgroup_fj_function_perf_event                      PASS       0    
cgroup_fj_function_net_prio                        PASS       0    
cgroup_fj_function_hugetlb                         PASS       0    
cgroup_fj_stress_debug_2_2_none                    CONF       32   
cgroup_fj_stress_debug_3_3_none                    CONF       32   
cgroup_fj_stress_debug_4_4_none                    CONF       32   
cgroup_fj_stress_debug_2_9_none                    CONF       32   
cgroup_fj_stress_debug_10_3_none                   CONF       32   
cgroup_fj_stress_debug_1_200_none                  CONF       32   
cgroup_fj_stress_debug_200_1_none                  CONF       32   
cgroup_fj_stress_debug_2_2_one                     CONF       32   
cgroup_fj_stress_debug_3_3_one                     CONF       32   
cgroup_fj_stress_debug_4_4_one                     CONF       32   
cgroup_fj_stress_debug_2_9_one                     CONF       32   
cgroup_fj_stress_debug_10_3_one                    CONF       32   
cgroup_fj_stress_debug_1_200_one                   CONF       32   
cgroup_fj_stress_debug_200_1_one                   CONF       32   
cgroup_fj_stress_debug_2_2_each                    CONF       32   
cgroup_fj_stress_debug_3_3_each                    CONF       32   
cgroup_fj_stress_debug_4_4_each                    CONF       32   
cgroup_fj_stress_debug_2_9_each                    CONF       32   
cgroup_fj_stress_debug_10_3_each                   CONF       32   
cgroup_fj_stress_debug_1_200_each                  CONF       32   
cgroup_fj_stress_debug_200_1_each                  CONF       32   
cgroup_fj_stress_cpuset_2_2_none                   PASS       0    
cgroup_fj_stress_cpuset_3_3_none                   PASS       0    
cgroup_fj_stress_cpuset_4_4_none                   PASS       0    
cgroup_fj_stress_cpuset_2_9_none                   PASS       0    
cgroup_fj_stress_cpuset_10_3_none                  PASS       0    
cgroup_fj_stress_cpuset_1_200_none                 PASS       0    
cgroup_fj_stress_cpuset_200_1_none                 PASS       0    
cgroup_fj_stress_cpuset_2_2_one                    PASS       0    
cgroup_fj_stress_cpuset_3_3_one                    PASS       0    
cgroup_fj_stress_cpuset_4_4_one                    PASS       0    
cgroup_fj_stress_cpuset_2_9_one                    PASS       0    
cgroup_fj_stress_cpuset_10_3_one                   PASS       0    
cgroup_fj_stress_cpuset_1_200_one                  PASS       0    
cgroup_fj_stress_cpuset_200_1_one                  PASS       0    
cgroup_fj_stress_cpuset_2_2_each                   PASS       0    
cgroup_fj_stress_cpuset_3_3_each                   PASS       0    
cgroup_fj_stress_cpuset_4_4_each                   PASS       0    
cgroup_fj_stress_cpuset_2_9_each                   PASS       0    
cgroup_fj_stress_cpuset_10_3_each                  PASS       0    
cgroup_fj_stress_cpuset_1_200_each                 PASS       0    
cgroup_fj_stress_cpuset_200_1_each                 PASS       0    
cgroup_fj_stress_cpu_2_2_none                      PASS       0    
cgroup_fj_stress_cpu_3_3_none                      PASS       0    
cgroup_fj_stress_cpu_4_4_none                      PASS       0    
cgroup_fj_stress_cpu_2_9_none                      PASS       0    
cgroup_fj_stress_cpu_10_3_none                     PASS       0    
cgroup_fj_stress_cpu_1_200_none                    PASS       0    
cgroup_fj_stress_cpu_200_1_none                    PASS       0    
cgroup_fj_stress_cpu_2_2_one                       PASS       0    
cgroup_fj_stress_cpu_3_3_one                       PASS       0    
cgroup_fj_stress_cpu_4_4_one                       PASS       0    
cgroup_fj_stress_cpu_2_9_one                       PASS       0    
cgroup_fj_stress_cpu_10_3_one                      PASS       0    
cgroup_fj_stress_cpu_1_200_one                     PASS       0    
cgroup_fj_stress_cpu_200_1_one                     PASS       0    
cgroup_fj_stress_cpu_2_2_each                      PASS       0    
cgroup_fj_stress_cpu_3_3_each                      PASS       0    
cgroup_fj_stress_cpu_4_4_each                      PASS       0    
cgroup_fj_stress_cpu_2_9_each                      PASS       0    
cgroup_fj_stress_cpu_10_3_each                     PASS       0    
cgroup_fj_stress_cpu_1_200_each                    PASS       0    
cgroup_fj_stress_cpu_200_1_each                    PASS       0    
cgroup_fj_stress_cpuacct_2_2_none                  PASS       0    
cgroup_fj_stress_cpuacct_3_3_none                  PASS       0    
cgroup_fj_stress_cpuacct_4_4_none                  PASS       0    
cgroup_fj_stress_cpuacct_2_9_none                  PASS       0    
cgroup_fj_stress_cpuacct_10_3_none                 PASS       0    
cgroup_fj_stress_cpuacct_1_200_none                PASS       0    
cgroup_fj_stress_cpuacct_200_1_none                PASS       0    
cgroup_fj_stress_cpuacct_2_2_one                   PASS       0    
cgroup_fj_stress_cpuacct_3_3_one                   PASS       0    
cgroup_fj_stress_cpuacct_4_4_one                   PASS       0    
cgroup_fj_stress_cpuacct_2_9_one                   PASS       0    
cgroup_fj_stress_cpuacct_10_3_one                  PASS       0    
cgroup_fj_stress_cpuacct_1_200_one                 PASS       0    
cgroup_fj_stress_cpuacct_200_1_one                 PASS       0    
cgroup_fj_stress_cpuacct_2_2_each                  PASS       0    
cgroup_fj_stress_cpuacct_3_3_each                  PASS       0    
cgroup_fj_stress_cpuacct_4_4_each                  PASS       0    
cgroup_fj_stress_cpuacct_2_9_each                  PASS       0    
cgroup_fj_stress_cpuacct_10_3_each                 PASS       0    
cgroup_fj_stress_cpuacct_1_200_each                PASS       0    
cgroup_fj_stress_cpuacct_200_1_each                PASS       0    
cgroup_fj_stress_memory_2_2_none                   PASS       0    
cgroup_fj_stress_memory_3_3_none                   PASS       0    
cgroup_fj_stress_memory_4_4_none                   PASS       0    
cgroup_fj_stress_memory_2_9_none                   PASS       0    
cgroup_fj_stress_memory_10_3_none                  PASS       0    
cgroup_fj_stress_memory_1_200_none                 PASS       0    
cgroup_fj_stress_memory_200_1_none                 PASS       0    
cgroup_fj_stress_memory_2_2_one                    PASS       0    
cgroup_fj_stress_memory_3_3_one                    PASS       0    
cgroup_fj_stress_memory_4_4_one                    PASS       0    
cgroup_fj_stress_memory_2_9_one                    PASS       0    
cgroup_fj_stress_memory_10_3_one                   PASS       0    
cgroup_fj_stress_memory_1_200_one                  PASS       0    
cgroup_fj_stress_memory_200_1_one                  PASS       0    
cgroup_fj_stress_memory_2_2_each                   PASS       0    
cgroup_fj_stress_memory_3_3_each                   PASS       0    
cgroup_fj_stress_memory_4_4_each                   PASS       0    
cgroup_fj_stress_memory_2_9_each                   PASS       0    
cgroup_fj_stress_memory_10_3_each                  PASS       0    
cgroup_fj_stress_memory_1_200_each                 PASS       0    
cgroup_fj_stress_memory_200_1_each                 PASS       0    
cgroup_fj_stress_freezer_2_2_none                  PASS       0    
cgroup_fj_stress_freezer_3_3_none                  PASS       0    
cgroup_fj_stress_freezer_4_4_none                  PASS       0    
cgroup_fj_stress_freezer_2_9_none                  PASS       0    
cgroup_fj_stress_freezer_10_3_none                 PASS       0    
cgroup_fj_stress_freezer_1_200_none                PASS       0    
cgroup_fj_stress_freezer_200_1_none                PASS       0    
cgroup_fj_stress_freezer_2_2_one                   PASS       0    
cgroup_fj_stress_freezer_3_3_one                   PASS       0    
cgroup_fj_stress_freezer_4_4_one                   PASS       0    
cgroup_fj_stress_freezer_2_9_one                   PASS       0    
cgroup_fj_stress_freezer_10_3_one                  PASS       0    
cgroup_fj_stress_freezer_1_200_one                 PASS       0    
cgroup_fj_stress_freezer_200_1_one                 PASS       0    
cgroup_fj_stress_freezer_2_2_each                  PASS       0    
cgroup_fj_stress_freezer_3_3_each                  PASS       0    
cgroup_fj_stress_freezer_4_4_each                  PASS       0    
cgroup_fj_stress_freezer_2_9_each                  PASS       0    
cgroup_fj_stress_freezer_10_3_each                 PASS       0    
cgroup_fj_stress_freezer_1_200_each                PASS       0    
cgroup_fj_stress_freezer_200_1_each                PASS       0    
cgroup_fj_stress_devices_2_2_none                  PASS       0    
cgroup_fj_stress_devices_3_3_none                  PASS       0    
cgroup_fj_stress_devices_4_4_none                  PASS       0    
cgroup_fj_stress_devices_2_9_none                  PASS       0    
cgroup_fj_stress_devices_10_3_none                 PASS       0    
cgroup_fj_stress_devices_1_200_none                PASS       0    
cgroup_fj_stress_devices_200_1_none                PASS       0    
